{['model'] = 'adder', ['name'] = 'Adder', ['brand'] = 'Truffade', ['price'] = 120000, ['categoryLabel'] = 'Super', ['shop'] = 'luxury'},
{['model'] = 'airbus', ['name'] = 'Airport Bus', ['brand'] = 'Brute', ['price'] = 60000, ['categoryLabel'] = 'Service', ['shop'] = 'truck'},
{['model'] = 'airtug', ['name'] = 'Airtug', ['brand'] = 'HVY', ['price'] = 10000, ['categoryLabel'] = 'Utility', ['shop'] = 'truck'},
{['model'] = 'akula', ['name'] = 'Akula', ['brand'] = 'Unknown', ['price'] = 15000000, ['categoryLabel'] = 'Helicopters', ['shop'] = 'air'},
{['model'] = 'akuma', ['name'] = 'Akuma', ['brand'] = 'Dinka', ['price'] = 65000, ['categoryLabel'] = 'Motorcycles', ['shop'] = 'pdm'},
{['model'] = 'alkonost', ['name'] = 'RO-86 Alkonost', ['brand'] = 'Unknown', ['price'] = 25000000, ['categoryLabel'] = 'Planes', ['shop'] = 'military'},
{['model'] = 'alpha', ['name'] = 'Alpha', ['brand'] = 'Albany', ['price'] = 75000, ['categoryLabel'] = 'Sports', ['shop'] = 'pdm'},
{['model'] = 'alphaz1', ['name'] = 'Alpha-Z1', ['brand'] = 'Buckingham', ['price'] = 750000, ['categoryLabel'] = 'Planes', ['shop'] = 'air'},
{['model'] = 'ambulan', ['name'] = 'Unknown', ['brand'] = 'Ambulance', ['price'] = 25000, ['categoryLabel'] = 'Emergency', ['shop'] = 'emergency'},
{['model'] = 'annihl', ['name'] = 'Unknown', ['brand'] = 'Annihilator', ['price'] = 35000000, ['categoryLabel'] = 'Helicopters', ['shop'] = 'military'},
{['model'] = 'annihlator2', ['name'] = 'Stealth', ['brand'] = 'Annihilator', ['price'] = 55000000, ['categoryLabel'] = 'Helicopters', ['shop'] = 'military'},
{['model'] = 'apc', ['name'] = 'APC Tank', ['brand'] = 'HVY', ['price'] = 35000000, ['categoryLabel'] = 'Military', ['shop'] = 'military'},
{['model'] = 'ardent', ['name'] = 'Ardent', ['brand'] = 'Ocelot', ['price'] = 210000, ['categoryLabel'] = 'Sports Classics', ['shop'] = 'luxury'},
{['model'] = 'armytrailer', ['name'] = 'Trailer', ['brand'] = 'Army', ['price'] = 65000, ['categoryLabel'] = 'Utility', ['shop'] = 'military'},
{['model'] = 'armytrailer', ['name'] = 'Trailer', ['brand'] = 'Army', ['price'] = 65000, ['categoryLabel'] = 'Utility', ['shop'] = 'military'},
{['model'] = 'armytrailer', ['name'] = 'Trailer', ['brand'] = 'Army', ['price'] = 65000, ['categoryLabel'] = 'Utility', ['shop'] = 'military'},
{['model'] = 'asbo', ['name'] = 'Asbo', ['brand'] = 'Maxwell', ['price'] = 6500, ['categoryLabel'] = 'Compacts', ['shop'] = 'pdm'},
